timestamp,true_z,est_z,z_error,covariance_scale_factor,noise_gate_active
5.842500,0.000000,0.025260,-0.025260,1.079365,0
5.845000,0.000000,0.026326,-0.026326,1.079365,0
5.847500,0.000000,0.038559,-0.038559,1.079365,0
5.850000,0.000000,0.045204,-0.045204,1.079365,0
5.852500,0.000000,0.039575,-0.039575,1.079365,0
5.855000,0.000000,0.037208,-0.037208,1.079365,0
5.857500,0.000000,0.039806,-0.039806,1.079365,0
5.860000,0.000000,0.034669,-0.034669,1.079365,0
5.862500,0.000000,0.047391,-0.047391,1.079365,0
5.865000,0.000000,0.036119,-0.036119,1.079365,0
5.867500,0.000000,0.037929,-0.037929,1.079365,0
5.870000,0.000000,0.043449,-0.043449,1.079365,0
5.872500,0.000000,0.039403,-0.039403,1.079365,0
5.875000,0.000000,0.033445,-0.033445,1.079365,0
5.877500,0.000000,0.031811,-0.031811,1.079365,0
5.880000,0.000000,0.037889,-0.037889,1.142857,0
5.882500,0.000000,0.032585,-0.032585,1.142857,0
5.885000,0.000000,0.022534,-0.022534,1.142857,0
5.887500,0.000000,0.031806,-0.031806,1.142857,0
5.890000,0.000000,0.034376,-0.034376,1.142857,0
5.892500,0.000000,0.042124,-0.042124,1.142857,0
5.895000,0.000000,0.047527,-0.047527,1.142857,0
5.897500,0.000000,0.065066,-0.065066,1.142857,0
5.900000,0.000000,0.073133,-0.073133,1.111111,0
5.902500,0.000000,0.064652,-0.064652,1.111111,0
5.905000,0.000000,0.067013,-0.067013,1.111111,0
5.907500,0.000000,0.060176,-0.060176,1.111111,0
5.910000,0.000000,0.054447,-0.054447,1.111111,0
5.912500,0.000000,0.040353,-0.040353,1.111111,0
5.915000,0.000000,0.036672,-0.036672,1.111111,0
5.917500,0.000000,0.040491,-0.040491,1.111111,0
5.920000,0.000000,0.038763,-0.038763,1.111111,0
5.922500,0.000000,0.027880,-0.027880,1.111111,0
5.925000,0.000000,0.013525,-0.013525,1.111111,0
5.927500,0.000000,0.031965,-0.031965,1.111111,0
5.930000,0.000000,0.033963,-0.033963,1.111111,0
5.932500,0.000000,0.025657,-0.025657,1.111111,0
5.935000,0.000000,0.029052,-0.029052,1.111111,0
5.937500,0.000000,0.047763,-0.047763,1.111111,0
5.940000,0.000000,0.051847,-0.051847,1.142857,0
5.942500,0.000000,0.026146,-0.026146,1.142857,0
5.945000,0.000000,0.048544,-0.048544,1.142857,0
5.947500,0.000000,0.031073,-0.031073,1.142857,0
5.950000,0.000000,0.028416,-0.028416,1.142857,0
5.952500,0.000000,0.017729,-0.017729,1.142857,0
5.955000,0.000000,0.010770,-0.010770,1.142857,0
5.957500,0.000000,0.012960,-0.012960,1.142857,0
5.960000,0.000000,-0.007015,0.007015,1.047619,0
5.962500,0.000000,-0.007658,0.007658,1.047619,0
5.965000,0.000000,0.003388,-0.003388,1.047619,0
5.967500,0.000000,-0.004652,0.004652,1.047619,0
5.970000,0.000000,-0.017586,0.017586,1.047619,0
5.972500,0.000000,-0.018372,0.018372,1.047619,0
5.975000,0.000000,-0.021001,0.021001,1.047619,0
5.977500,0.000000,-0.025955,0.025955,1.047619,0
5.980000,0.000000,-0.036309,0.036309,1.047619,0
5.982500,0.000000,-0.030045,0.030045,0.984127,0
5.985000,0.000000,-0.023242,0.023242,0.984127,0
5.987500,0.000000,-0.032996,0.032996,0.984127,0
5.990000,0.000000,-0.041068,0.041068,0.984127,0
5.992500,0.000000,-0.038461,0.038461,0.984127,0
5.995000,0.000000,-0.046699,0.046699,0.984127,0
5.997500,0.000000,-0.043517,0.043517,0.984127,0
6.000000,0.000000,-0.027434,0.027434,0.952381,0
6.002500,0.000000,-0.027165,0.027165,0.952381,0
6.005000,0.000000,-0.038405,0.038405,0.952381,0
6.007500,0.000000,-0.033298,0.033298,0.952381,0
6.010000,0.000000,-0.034016,0.034016,0.952381,0
6.012500,0.000000,-0.034438,0.034438,0.952381,0
6.015000,0.000000,-0.028662,0.028662,0.952381,0
6.017500,0.000000,-0.020948,0.020948,0.952381,0
6.020000,0.000000,-0.019974,0.019974,0.984127,0
6.022500,0.000000,-0.019951,0.019951,0.984127,0
6.025000,0.000000,0.000378,-0.000378,0.984127,0
6.027500,0.000000,0.011836,-0.011836,0.984127,0
6.030000,0.000000,0.019437,-0.019437,0.984127,0
6.032500,0.000000,0.020103,-0.020103,0.984127,0
6.035000,0.000000,0.009904,-0.009904,0.984127,0
6.037500,0.000000,0.020353,-0.020353,0.984127,0
6.040000,0.000000,0.021137,-0.021137,0.952381,0
6.042500,0.000000,0.014829,-0.014829,0.952381,0
6.045000,0.000000,0.011992,-0.011992,0.952381,0
6.047500,0.000000,0.002180,-0.002180,0.952381,0
6.050000,0.000000,0.012433,-0.012433,0.952381,0
6.052500,0.000000,0.018711,-0.018711,0.952381,0
6.055000,0.000000,0.019904,-0.019904,0.952381,0
6.057500,0.000000,0.018875,-0.018875,0.952381,0
6.060000,0.000000,0.011674,-0.011674,0.952381,0
6.062500,0.000000,-0.008786,0.008786,0.984127,0
6.065000,0.000000,-0.021866,0.021866,0.984127,0
6.067500,0.000000,-0.028226,0.028226,0.984127,0
6.070000,0.000000,-0.035817,0.035817,0.984127,0
6.072500,0.000000,-0.032014,0.032014,0.984127,0
6.075000,0.000000,-0.023392,0.023392,0.984127,0
6.077500,0.000000,-0.023907,0.023907,0.984127,0
